geographic_area,city,median_income,poverty_rate,percent_completed_hs,share_white,share_black,share_native_american,share_asian,share_hispanic
MN,Mapleton city,50703,16.2,92.3,97.4,0.8,0.1,0.5,1.9
MN,Mapleview city,29500,49.8,74,90.3,0,0,1.7,14.2
MN,Maplewood city,62527,9.6,90.7,75.5,8.2,0.5,10.4,6.2
MN,Marble city,42578,28.9,93.6,93.4,0.6,3.1,0.4,0.3
MN,Marietta city,36250,17.3,88.5,98.8,0,0,0,0
MN,Marine on St. Croix city,99375,1.9,97.8,98.7,0.1,0,0.4,0.6
MN,Marshall city,46863,19.5,91.7,86.8,4,0.6,3,7.8
MN,Martin Lake CDP,67031,8.7,98.5,97.1,0.8,0.3,0.4,1.8
MN,Mayer city,90052,1.9,96.8,95.2,1.1,0.1,1.7,1.3
MN,Maynard city,45000,14.7,89,92.6,1.1,0.3,1.1,5.5
MN,Mazeppa city,62083,4.7,89.8,96.3,1.2,0.6,0.6,1.2
MN,Meadowlands city,20000,22.6,71.2,94,3.7,0.7,0,0
MN,Medford city,67112,7.6,93.2,96.3,0.9,0.1,0.6,5.2
MN,Medicine Lake city,82917,4.1,99.2,89.8,4.3,1.3,2.2,1.3
MN,Medina city,132045,4.7,98.9,94,1,0.1,3.2,1.2
MN,Meire Grove city,40833,16,83.1,98.9,0,0,1.1,0
MN,Melrose city,39359,14.6,79.3,86.1,0.9,0.2,0.6,22.1
MN,Menahga city,26094,23.2,83.2,97.8,0.5,0.6,0.2,1.1
MN,Mendota city,66250,14.3,97.3,91.4,1.5,1.5,2,3.5
MN,Mendota Heights city,95353,3.9,97.3,93.8,1.5,0.2,2.2,2.9
MN,Mentor city,31161,20.4,74.4,96.7,0,1.3,0,2
MN,Merrifield CDP,53750,0,95.5,97.9,0,0.7,0.7,1.4
MN,Middle River city,37500,11.5,91.2,96.7,1,1.3,0.3,1
MN,Midway CDP,21250,50,100,26.9,0,73.1,0,19.2
MN,Miesville city,61250,16.3,94.1,100,0,0,0,0
MN,Milaca city,36465,16.8,85.3,96.1,0.4,1.4,0.3,0.6
MN,Milan city,36875,21.8,75.7,72.1,0,1.1,1.1,4.3
MN,Millerville city,43500,25.3,89.4,99.1,0,0,0,0
MN,Millville city,56250,6.9,88.8,100,0,0,0,2.2
MN,Milroy city,41250,13.9,91,98.4,0,0,1.2,0.8
MN,Miltona city,39000,27.7,88.5,99.3,0.2,0.2,0,1.2
MN,Minneapolis city,51480,21.9,88.6,63.8,18.6,2,5.6,10.5
MN,Minneiska city,63750,6.1,97.7,98.2,0,0,0.9,0.9
MN,Minneota city,56458,8.5,87.1,95.8,0.2,0.1,0.3,6.7
MN,Minnesota City city,58333,0,96.7,99.5,0,0.5,0,0.5
MN,Minnesota Lake city,55521,9.3,91.2,98.8,0.4,0,0,2.9
MN,Minnetonka city,78589,5.4,97.5,90,3.7,0.3,3.1,2.4
MN,Minnetonka Beach city,173000,0,99.7,99.3,0,0,0.4,0.6
MN,Minnetrista city,129844,6.4,95.8,96.3,0.7,0.1,1.6,1.8
MN,Mizpah city,21458,23.6,94.8,98.2,0,0,1.8,0
MN,Montevideo city,43906,16.9,86.9,92,0.6,0.7,0.5,8.4
MN,Montgomery city,54412,11.7,84.2,94.4,0.2,0.6,0.4,6.4
MN,Monticello city,70254,7.6,93.9,92.6,1.5,0.5,1,5.4
MN,Montrose city,63485,5.4,92.7,95.2,0.6,0.2,0.9,3
MN,Moorhead city,53360,15.7,94.1,90.7,2,1.5,2,4.1
MN,Moose Lake city,34375,38.9,93.9,79.2,14.4,3.7,0.9,4
MN,Mora city,39982,17.6,85.4,96.1,0.8,0.7,0.3,2.2
MN,Morgan city,46905,9.6,89.5,94.8,0,2.5,0.2,2.8
MN,Morris city,41991,27.6,88.4,90.9,1.3,1.5,2.5,3.2
MN,Morristown city,47188,7.5,82.4,96.3,0.6,0,0.2,3.6
MN,Morton city,39531,6.6,89.6,86.4,0,8,1,2.9
MN,Motley city,27656,25.9,85.2,94.5,0.1,0.4,0,4.3
MN,Mound city,73750,7.6,96.7,95.8,0.9,0.3,1.3,1.8
MN,Mounds View city,57799,12.6,91.6,81.3,5.5,0.8,7,5
MN,Mountain Iron city,50703,11.9,92,96.8,0.3,0.7,0.2,0.6
MN,Mountain Lake city,44052,15,83.4,82.8,0.8,0.2,10.3,10.7
MN,Murdock city,44145,14.7,87.8,95,0,0,0,7.2
MN,Myrtle city,22500,7.4,86.2,100,0,0,0,16.7
MN,Nashua city,36250,31,87.5,100,0,0,0,14.7
MN,Nashwauk city,48068,14,90.4,96.4,0,0.9,0.1,0.8
MN,Nassau city,(X),16.3,87.5,100,0,0,0,0
MN,Naytahwaush CDP,23750,59.2,74.1,3.1,0,93.4,0,2.1
MN,Nelson city,54286,6.3,95,98.9,0,1.1,0,0.5
MN,Nerstrand city,67500,0.7,95.9,96.9,0,0.3,0.7,3.1
MN,Nett Lake CDP,26667,30,79.1,4.2,0.4,93.3,0,1.4
MN,Nevis city,32679,14.6,91.7,95.6,0.3,1,0,0.5
MN,New Auburn city,44643,12.6,88.8,91.4,0,0,0,12.5
MN,New Brighton city,60964,11.4,93.9,81.9,6.6,0.4,6.1,4.4
MN,Newfolden city,51375,11.5,91.5,97,0.3,2.2,0,0
MN,New Germany city,52500,10.2,92.3,96,0,0,0.3,7.3
MN,New Hope city,50165,12,89.7,74.5,14.7,0.4,3.8,6.5
MN,New London city,41354,8.7,89,98.7,0,0.2,0.1,2.7
MN,New Munich city,48125,20.5,83.7,100,0,0,0,0
MN,Newport city,59423,14.9,93.1,85,5,0.7,3.8,6.4
MN,New Prague city,64837,7.5,92.1,96.5,0.5,0.3,0.6,1.9
MN,New Richland city,40000,11.5,82.6,97.1,1,0.1,0.2,3.4
MN,New Trier city,61250,2.1,94.1,97.3,0.9,0.9,0,0
MN,New Ulm city,50254,7.8,91.8,97.8,0.3,0.1,0.7,1.8
MN,New York Mills city,38854,12.7,88.2,94.8,0.3,1.8,0,1.8
MN,Nicollet city,60592,7,95.5,98.4,0.2,0,0.2,3.4
MN,Nielsville city,48750,32.1,98.6,93.3,0,0,0,23.3
MN,Nimrod city,40625,11.2,93.9,100,0,0,0,0
MN,Nisswa city,64435,2.3,97.6,97.7,0.4,0.7,0.6,0.5
MN,Norcross city,60417,4.3,78.4,74.3,0,1.4,0,25.7
MN,North Branch city,67122,6.4,94.7,96.6,0.5,0.4,0.8,1.9
MN,Northfield city,57866,10.1,94.5,88.8,1.3,0.2,3.5,8.4
MN,North Mankato city,55440,9.2,96,93.9,2.1,0.2,1.7,3
MN,North Oaks city,151397,2.3,99.1,93,0.4,0.2,5.2,1.2
MN,Northome city,27727,35.4,86.7,97,0,1,0,0
MN,Northrop city,43333,32.2,96.4,96.9,0,0,3.1,0
MN,North St. Paul city,55708,15.2,91,81.2,7,0.6,6.6,4.9
MN,Norwood Young America city,62850,7.5,92.8,95.2,0.4,0.2,0.5,4.1
MN,Nowthen city,85455,8.4,93.4,96.2,0.9,0.5,1.3,1
