,threat_level
1670,attack
1671,attack
1673,other
1674,attack
1675,other
1676,attack
1677,attack
1678,attack
1679,undetermined
1680,other
1682,attack
1684,attack
1686,attack
1687,other
1688,attack
1689,attack
1692,attack
1694,attack
1695,attack
1696,attack
1697,attack
1698,other
1699,other
1700,other
1701,attack
1702,attack
1704,attack
1705,attack
1706,other
1707,attack
1708,attack
1709,attack
1710,attack
1711,other
1712,other
1713,attack
1714,attack
1716,other
1717,attack
1718,other
1719,attack
1720,attack
1721,attack
1722,attack
1723,attack
1724,other
1726,attack
1727,attack
1728,attack
1729,attack
1730,attack
1731,attack
1732,attack
1733,attack
1734,attack
1735,attack
1736,attack
1737,other
1739,attack
1741,other
1742,attack
1743,other
1744,attack
1745,attack
1747,attack
1748,attack
1749,other
1750,other
1751,attack
1752,attack
1753,attack
1754,attack
1755,other
1756,attack
1757,attack
1758,undetermined
1759,attack
1760,other
1761,attack
1762,other
1763,other
1764,attack
1765,attack
1766,attack
1767,attack
1768,attack
1769,attack
1770,attack
1771,attack
1772,attack
1773,attack
1774,attack
1775,attack
1777,attack
1778,attack
1779,attack
1780,other
1781,attack
1782,undetermined
1783,attack
1784,attack
1785,attack
1786,attack
1787,other
1788,other
1790,undetermined
1791,other
1792,attack
1793,other
1794,attack
1795,attack
1796,other
1797,attack
1798,attack
1799,undetermined
1801,other
1802,attack
1803,attack
1804,attack
1805,attack
1806,attack
1807,other
1808,other
1809,attack
1810,attack
1811,other
1812,attack
1813,attack
1814,attack
1815,attack
1816,attack
1817,attack
1818,other
1819,other
1820,attack
1821,attack
1822,other
1823,attack
1825,other
1826,undetermined
1828,attack
1829,undetermined
1830,attack
1831,attack
1833,other
1834,attack
1835,attack
1838,attack
1839,attack
1840,attack
1841,attack
1842,attack
1843,attack
1844,other
1845,attack
1846,attack
1847,other
1848,attack
1849,attack
1850,attack
1851,other
1852,other
1853,attack
1854,attack
1855,attack
1856,undetermined
1857,attack
1858,other
1859,other
1860,attack
1861,other
1862,attack
1863,attack
1865,other
1866,other
1868,other
1869,attack
1870,attack
1871,attack
1872,other
1873,attack
1874,attack
1875,attack
1876,attack
1877,attack
1878,attack
1881,other
1882,other
1883,other
1884,other
1885,undetermined
1886,attack
1887,attack
1888,other
1889,undetermined
1890,attack
1891,attack
1892,other
1893,other
1894,other
1895,attack
1896,attack
1897,attack
1898,attack
1899,attack
1900,attack
1901,attack
1902,other
1903,other
1905,attack
1906,other
1907,attack
1908,attack
1909,attack
1910,attack
1911,attack
1912,other
1914,attack
1915,attack
1917,attack
1918,other
1919,other
1920,attack
1921,other
1922,attack
1923,attack
1924,other
1925,attack
1926,attack
1927,other
1928,attack
1930,attack
1931,other
1932,attack
1933,other
1934,attack
1935,attack
1936,attack
1937,attack
1938,attack
1940,other
1941,attack
1942,attack
1943,attack
1944,other
1945,other
1946,attack
1947,other
1949,attack
1950,other
1952,other
1953,attack
1954,attack
1955,attack
1956,attack
1957,attack
1958,other
1959,attack
1960,undetermined
1961,other
1962,attack
1963,attack
1964,attack
1965,attack
1966,attack
1967,attack
1968,attack
1970,other
1972,attack
1973,other
1974,other
1976,attack
1977,attack
1978,attack
1979,attack
1980,attack
1981,attack
1982,attack
1983,attack
1984,attack
1985,attack
1986,other
1987,attack
1988,attack
1989,other
1990,attack
1992,attack
1994,attack
1995,attack
1996,other
1997,undetermined
1999,other
2000,attack
2001,other
2002,attack
2003,attack
2005,attack
2006,other
2007,other
2008,attack
2009,attack
2012,attack
2014,other
2015,attack
2016,attack
2017,attack
2018,attack
2019,other
2022,attack
2023,other
2024,other
2025,other
2026,undetermined
2027,other
2028,other
2029,attack
2030,other
2031,other
2032,undetermined
2033,other
2034,attack
2036,attack
2037,attack
2038,other
2039,attack
2040,attack
2041,attack
2042,attack
2043,attack
2044,attack
2045,attack
2046,attack
2047,attack
2048,attack
2049,attack
2050,attack
2051,other
2052,attack
2053,attack
2054,undetermined
2055,attack
2056,other
2057,undetermined
2058,attack
2059,attack
2060,attack
2061,attack
2062,attack
2065,attack
2066,other
2067,attack
2068,other
2069,attack
2070,attack
2071,other
2072,other
2073,attack
2074,attack
2075,attack
2076,attack
2077,attack
2078,attack
2079,other
2082,attack
2083,attack
2084,undetermined
2085,attack
2086,attack
2087,attack
2088,attack
2089,other
2090,other
2091,other
2092,attack
2093,attack
2094,undetermined
2095,other
2096,other
2099,attack
2100,attack
2101,attack
2102,attack
2103,attack
2105,undetermined
2106,other
2107,other
2108,attack
2110,attack
2111,other
2112,attack
2113,attack
2114,other
2115,other
2116,attack
2118,other
2119,other
2120,other
2121,attack
2122,other
2123,attack
2124,other
2126,other
