,Median Income,poverty_rate,percent_completed_hs,share_white,share_black,share_native_american,share_asian,share_hispanic,age,signs_of_mental_illness,body_camera,manner_of_death_shot and Tasered,armed_air conditioner,armed_ax,armed_baseball bat,armed_baseball bat and bottle,armed_baseball bat and fireplace poker,armed_bean-bag gun,armed_beer bottle,armed_blunt object,armed_box cutter,armed_brick,armed_carjack,armed_chain,armed_chain saw,armed_contractor's level,armed_cordless drill,armed_crossbow,armed_garden tool,armed_glass shard,armed_gun,armed_gun and knife,armed_guns and explosives,armed_hammer,armed_hand torch,armed_hatchet,armed_hatchet and gun,armed_knife,armed_lawn mower blade,armed_machete,armed_meat cleaver,armed_metal hand tool,armed_metal object,armed_metal pipe,armed_metal pole,armed_metal rake,armed_metal stick,armed_nail gun,armed_oar,armed_pen,armed_pick-axe,armed_piece of wood,armed_pipe,armed_pitchfork,armed_pole,armed_pole and knife,armed_rock,armed_scissors,armed_screwdriver,armed_sharp object,armed_shovel,armed_spear,armed_stapler,armed_straight edge razor,armed_sword,armed_toy weapon,armed_unarmed,armed_undetermined,armed_unknown weapon,armed_vehicle,gender_M,race_B,race_H,race_N,race_O,race_W,flee_Foot,flee_Not fleeing,flee_Other
54,61541.0,11.7,91.8,83.4,1.4,5.2,2.1,4.3,36.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
55,35671.0,24.0,85.5,89.5,1.2,1.1,0.8,14.4,53.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0
56,35671.0,24.0,85.5,89.5,1.2,1.1,0.8,14.4,45.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
57,55100.0,18.6,79.0,58.1,9.3,1.7,3.5,50.3,28.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0
58,55100.0,18.6,79.0,58.1,9.3,1.7,3.5,50.3,44.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
60,31010.0,29.1,87.3,84.2,1.4,1.5,0.5,36.2,51.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
62,35948.0,19.7,82.7,81.9,1.3,1.1,1.4,23.7,44.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
64,72695.0,10.0,91.5,73.3,4.8,1.5,8.2,21.9,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
65,72695.0,10.0,91.5,73.3,4.8,1.5,8.2,21.9,24.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
66,41875.0,9.6,84.6,0.4,0.0,99.6,0.0,0.0,21.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
67,36440.0,19.9,84.9,83.6,0.8,1.8,0.9,22.8,21.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
68,41875.0,9.6,84.6,0.4,0.0,99.6,0.0,0.0,19.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0
