,Median Income,poverty_rate,percent_completed_hs,share_white,share_black,share_native_american,share_asian,share_hispanic,Level
308,37279,19.8,85.5,87.5,7.3,0.1,0.9,3.2,0
309,37431,31.5,72,92.6,1.1,0.2,0.7,9.8,0
310,37485,21.1,80.4,89,7.8,0.3,0.6,1.9,0
311,37500,16.1,94.1,98.5,0.2,0.1,0.4,1.9,0
312,37500,26.3,86.9,87.8,9,0.2,0.4,1.2,0
313,37571,30.7,58.8,45.4,3.8,1.2,10.6,77.2,0
314,37583,15.8,77.6,96,1.7,0.4,0.1,1.6,0
315,37623,21.3,86.3,83.5,10.7,0.4,1,3.3,0
316,37627,31.9,74.5,52.2,6.3,1.5,11.8,49.6,0
317,37705,27.4,85.6,55.7,34.4,0.3,3.2,7,0
318,37798,19.9,88.9,93.9,2.6,0.2,1,3.1,0
319,37819,28.1,81.1,75.7,17.6,0.8,0.6,6.4,0
320,37887,19.3,87.6,88.1,0.6,0.8,1.4,12.4,0
321,37917,26.3,77.1,64.5,23.8,0.5,0.1,13.8,0
322,37995,20.9,78.4,79.1,5.3,7.2,0.4,5,0
323,38049,21.3,83.8,64.6,30.8,0.5,1.5,2.6,0
324,38085,24.9,57.8,38.8,0.8,1,25.1,69,0
325,38086,19.1,90,86.2,1,1.1,1.4,13.8,0
326,38214,19.4,88.8,96.5,1.2,0.2,0.8,1.1,0
327,38253,23.1,80.3,18.3,76.3,0.2,0.6,22,0
328,38253,26.4,82,41,43.4,0.5,6.3,12.3,2
329,38313,10.6,81.2,78.6,16.2,0.2,0.3,3.8,0
330,38333,16,85.4,97.5,0.3,0.3,0.2,1.6,0
331,38435,34.7,61.6,45.4,16,0.9,7.6,49.9,0
332,38456,30.9,66.9,58.8,1.2,1.9,4.7,61.9,0
333,38551,16.3,83.5,93.3,3.4,0.3,0.7,1.9,0
334,38558,17.8,88.2,90.3,4.8,0.2,1.1,5.5,0
335,38558,18.7,87.2,34.7,60.8,0.2,0.6,3,0
336,38583,23.6,85.5,41.2,54.7,0.4,1.3,2.5,1
337,38679,28.8,91.2,91,2.3,0.2,4.8,1.7,0
338,38716,24.8,83.1,65.1,20.5,0.4,2.9,15.8,0
339,38749,24.9,77.8,52.2,26.8,0.8,2.7,27.8,0
340,38750,22,92.5,94.7,0.3,1.4,0.5,3.5,0
